CTA ID,Category,CTA
CTA_001,Awareness,Meet the shade.
CTA_002,Engagement,Find your finish.
CTA_003,Product discovery,See the full product details.
CTA_004,Website/shop,Save this for your next lip routine.
CTA_005,Comment,Which one would you pick?
CTA_006,Save,Tell us your lip mood.
CTA_007,Share,Send this to your gloss friend.
CTA_008,Follow,Save the comparison for later.
CTA_009,Launch,Explore the collection.
CTA_010,Promotion,Shop the lip edit.
CTA_011,Awareness,Build your everyday lip pair.
CTA_012,Engagement,Discover the texture up close.
CTA_013,Product discovery,Find your everyday shade.
CTA_014,Website/shop,Show us what lives in your bag.
CTA_015,Comment,Choose your flavour.
CTA_016,Save,Pick glossy or satin.
CTA_017,Share,Save the ingredient guide.
CTA_018,Follow,Share your current lip combo.
CTA_019,Launch,Follow for more lip-first beauty ideas.
CTA_020,Promotion,Meet the newest addition.
CTA_021,Awareness,Explore the new shade.
CTA_022,Engagement,See the launch collection.
CTA_023,Product discovery,Try the new finish.
CTA_024,Website/shop,Shop the new drop.
CTA_025,Comment,Explore the routine set.
CTA_026,Save,Find the product that fits your routine.
CTA_027,Share,Save this shade guide.
CTA_028,Follow,Comment with your go-to flavour.
CTA_029,Launch,Share your night routine.
CTA_030,Promotion,Tell us your favourite finish.
CTA_031,Awareness,Discover the full range.
CTA_032,Engagement,See how the colour builds.
CTA_033,Product discovery,Compare the two shades.
CTA_034,Website/shop,Find your berry.
CTA_035,Comment,Find your nude.
CTA_036,Save,Find your gloss.
CTA_037,Share,Build your lip wardrobe.
CTA_038,Follow,Keep this one in your bag.
CTA_039,Launch,Make room for a new favourite.
CTA_040,Promotion,Explore the flavour story.
CTA_041,Awareness,See the formula story.
CTA_042,Engagement,Save this for later.
CTA_043,Product discovery,Send this to someone who loves lip oils.
CTA_044,Website/shop,Join the conversation.
CTA_045,Comment,Tell us what we should make next.
CTA_046,Save,Meet the product behind the mood.
CTA_047,Share,Explore the edit.
CTA_048,Follow,Shop the bundle.
CTA_049,Launch,See the seasonal collection.
CTA_050,Promotion,Discover your next lip ritual.
