Hook ID,Category,Hook Structure,Suggested Variables
HOOK_001,Education,Glossy lips are not one-finish-fits-all. Here is the difference. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_002,Curiosity,The lip product in your bag says more about your routine than you think. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_003,Problem/Solution,"Before you pick a shade, pick the finish. Add [PRODUCT_NAME] to the story.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_004,Lifestyle,Your lip routine can be shorter than your morning coffee order. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_005,Product,Here is why this texture feels different on the first swipe. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_006,Emotional,"If your ideal lip look lives somewhere between balm and colour, start here. Add [PRODUCT_NAME] to the story.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_007,Humour,"One flavour, three very different moods. Add [PRODUCT_NAME] to the story.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_008,Trend,Which would you choose for a five-minute getting-ready routine? Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_009,Engagement,The tiny lip step that makes the rest of your routine easier. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_010,Storytelling,Meet the shade made for people who never know what to pick. Add [PRODUCT_NAME] to the story.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_011,Education,Consider this your sign to try a softer berry. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_012,Curiosity,Some days call for colour. Some call for comfort. Some call for both. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_013,Problem/Solution,What happens when peach meets gloss? Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_014,Lifestyle,The best lip product is often the one you actually remember to use. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_015,Product,Your desk deserves a lip ritual too. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_016,Emotional,Not every glossy lip needs a dramatic shade. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_017,Humour,Here is the easiest way to make a sheer tint feel intentional. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_018,Trend,"If you love vanilla, wait until you see this texture. Pair it with [SHADE_FAMILY].",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_019,Engagement,A good lip combo starts with the right pairing. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_020,Storytelling,Three swipes. Three moods. Pair it with [SHADE_FAMILY].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_021,Education,Think of this as your lip wardrobe. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_022,Curiosity,The shade looks different in the tube. Here is the real swatch. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_023,Problem/Solution,Why does one gloss feel plush while another feels thin? Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_024,Lifestyle,Your nightstand called. It wants a lip mask. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_025,Product,"One ingredient, one simple reason it is here. Use [FLAVOUR] as the sensory cue.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_026,Emotional,Let us make ingredient labels a little less intimidating. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_027,Humour,Your lip colour does not have to compete with your whole face. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_028,Trend,Here is the difference between a juicy tint and a creamy balm. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_029,Engagement,"If your makeup bag had one lip product slot left, what would you choose? Use [FLAVOUR] as the sensory cue.",[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_030,Storytelling,The easiest way to add colour without adding a whole routine. Use [FLAVOUR] as the sensory cue.,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
HOOK_031,Education,A little shine can change the entire mood of a look. Compare [PRODUCT_A] with [PRODUCT_B].,[PRODUCT_NAME]; [FLAVOUR]; [TEXTURE]; [FINISH]
