Dataset,Purpose,Recommended CSV Filename,Field
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand ID
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Name
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Tagline
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Mission
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Vision
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Story
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Personality
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Values
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Positioning
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Promise
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Target Market
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Geographic Market
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Price Positioning
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Aesthetic
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Visual Identity Description
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Preferred Colour Palette
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Photography Style
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Packaging Style
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Vocabulary
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Words the Brand Commonly Uses
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Words the Brand Should Avoid
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Brand Voice
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Tone Characteristics
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Communication Style
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Key Selling Themes
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Core Product Philosophy
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Ingredient Philosophy
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Flavour Philosophy
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Shade Philosophy
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,Sustainability Positioning
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,General Content Strategy
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Product ID
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Product Name
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Product Category
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Product Subcategory
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Product Description
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Key Benefits
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Hero Benefit
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Secondary Benefits
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Key Ingredients
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Ingredient Benefits
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Flavour
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Scent
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Texture
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Finish
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Shade
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Shade Family
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Shade Description
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Ideal Use
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Recommended Time of Day
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Suitable Customer Persona
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Price Tier
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Product Personality
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Main Marketing Angle
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Secondary Marketing Angles
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Suggested CTA
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Suggested Content Buckets
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Suitable Platforms
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Image Concept
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,Visual Mood
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Ingredient ID
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Ingredient Category
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Ingredient Name
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Simple Consumer-Friendly Description
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Cosmetic Role
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Commonly Associated Benefit
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Suitable Product Types
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Suitable Marketing Language
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Claims to Avoid
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,Content Angles
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Flavour ID
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Flavour Name
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Flavour Family
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Description
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Mood
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Suitable Product Types
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Suitable Audience
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Suggested Content Angle
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,Suggested Sensory Vocabulary
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Persona ID
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Persona Name
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Age Range
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Lifestyle
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Occupation/Student Status
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Beauty Habits
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Lip-Care Habits
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Makeup Habits
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Main Needs
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Pain Points
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Buying Motivations
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Purchase Triggers
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Objections
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Preferred Products
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Preferred Flavours
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Preferred Finishes
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Ingredient Interests
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Preferred Platforms
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Preferred Content Types
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Preferred Content Buckets
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Preferred Tone
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Messaging That Resonates
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Messaging That Does Not Resonate
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Best CTA Types
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Best Posting Days
Customer_Personas,Audience segments for content targeting,customer_personas.csv,Best Posting Times
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Bucket ID
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Bucket Name
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Purpose
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Description
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Recommended Percentage of Total Content
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Suitable Platforms
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Suitable Personas
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Suitable Product Types
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Example Content Angles
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Example Hooks
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Example CTAs
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Tone
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,Content Formats
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Platform ID
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Platform
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Primary Purpose
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Ideal Content Types
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Recommended Post Length
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Hook Style
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,CTA Style
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Hashtag Approach
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Image Requirements
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Alt-Text Guidance
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Recommended Posting Days
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Recommended Posting Windows
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Suitable Content Buckets
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Suitable Personas
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Tone
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,Content Frequency
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,Time ID
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,Platform
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,Day
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,Time Window
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,Audience/Persona
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,Content Bucket
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,Content Type
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,Priority Score
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,Template ID
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,Platform
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,Content Bucket
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,Objective
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,Hook Structure
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,Body Structure
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,CTA Structure
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,Hashtag Structure
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,Visual Structure
Hook_Library,100 original beauty and lip-care hook structures,hook_library.csv,Hook ID
Hook_Library,100 original beauty and lip-care hook structures,hook_library.csv,Category
Hook_Library,100 original beauty and lip-care hook structures,hook_library.csv,Hook Structure
Hook_Library,100 original beauty and lip-care hook structures,hook_library.csv,Suggested Variables
CTA_Library,50 reusable calls to action,cta_library.csv,CTA ID
CTA_Library,50 reusable calls to action,cta_library.csv,Category
CTA_Library,50 reusable calls to action,cta_library.csv,CTA
Hashtag_Meta_Library,Generic beauty metadata and hashtag terms,hashtag_meta_library.csv,Tag ID
Hashtag_Meta_Library,Generic beauty metadata and hashtag terms,hashtag_meta_library.csv,Category
Hashtag_Meta_Library,Generic beauty metadata and hashtag terms,hashtag_meta_library.csv,Tag/Keyword
Hashtag_Meta_Library,Generic beauty metadata and hashtag terms,hashtag_meta_library.csv,Plain Keyword
Hashtag_Meta_Library,Generic beauty metadata and hashtag terms,hashtag_meta_library.csv,Tier
Hashtag_Meta_Library,Generic beauty metadata and hashtag terms,hashtag_meta_library.csv,Usage Rule
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Image ID
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Visual Style
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Background
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Lighting
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Props
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Composition
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Colour Mood
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Product Placement
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Model/Persona
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Suitable Product Types
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Suitable Content Buckets
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,Suitable Platforms
Alt_Text_Rules,Rules for programmatic accessible image descriptions,alt_text_rules.csv,Rule ID
Alt_Text_Rules,Rules for programmatic accessible image descriptions,alt_text_rules.csv,Rule Type
Alt_Text_Rules,Rules for programmatic accessible image descriptions,alt_text_rules.csv,Rule
