Image ID,Visual Style,Background,Lighting,Props,Composition,Colour Mood,Product Placement,Model/Persona,Suitable Product Types,Suitable Content Buckets,Suitable Platforms
IMG_001,Soft Editorial,warm cream,diffused window light,linen; mirror; ceramic dish,negative space with product off-centre,cream; rose; cocoa,hero product upright,PERSONA_007,lip masks; oils; serums,Lifestyle; Product Spotlight,Instagram; Pinterest
IMG_002,Fruit Macro,clean neutral,bright natural light,strawberry; peach; cherry; watermelon,tight crop with product and fruit,fresh fruit tones,product beside fruit,PERSONA_001,glosses; tints; balms,Flavour/Sensory; Product Spotlight,Instagram; YouTube Shorts
IMG_003,Gloss Reflection,soft grey,hard directional highlight,mirror; acrylic block,product reflected in surface,silver; clear; berry,vertical tube with reflection,PERSONA_003,glosses; oils,Product Spotlight; Flavour/Sensory,Instagram; Pinterest
IMG_004,Bedside Ritual,warm bedroom,soft lamp light,book; linen; mug,product on bedside surface,cream; cocoa; rose,jar open with applicator,PERSONA_010,masks; treatments; butters,Lifestyle; Lip Care Tips,Instagram; Pinterest
IMG_005,Desk Ritual,neutral desk,morning window light,notebook; coffee; laptop,product beside everyday objects,cream; brown; muted rose,balm near keyboard,PERSONA_002,balms; oils,Lifestyle; Product Spotlight,Instagram; Facebook
IMG_006,Shade Grid,plain warm backdrop,even studio light,swatch cards,multiple products aligned by shade,nude; pink; berry,products above matching swatches,PERSONA_004,lipsticks; tints; liners; balms,Education; Product Spotlight,Instagram; Pinterest
IMG_007,Texture Swipe,white background,soft directional light,spatula; glass plate,large macro swipe with product nearby,cream; transparent,texture dominates frame,PERSONA_006,masks; butters; glosses,Ingredient Spotlight; Flavour/Sensory,Instagram; YouTube Shorts
IMG_008,Vanity Scene,lived-in vanity,natural afternoon light,mirror; pouch; brush,product in realistic makeup setup,soft pink; brown; cream,product in foreground,PERSONA_009,lipsticks; liners; balms,Lifestyle; Product Spotlight,Instagram; Facebook
IMG_009,Minimal Flat Lay,cream surface,even daylight,compact; ribbon; card,symmetrical overhead layout,cream; berry accent,product central,PERSONA_004,balms; glosses; oils,Lifestyle; Brand Story,Pinterest; Instagram
IMG_010,Berry Velvet,deep neutral backdrop,low-key directional light,velvet fabric; tea cup,dramatic crop with negative space,berry; plum; cocoa,lipstick angled toward camera,PERSONA_007,lipsticks; stains,Product Spotlight; Lifestyle,Instagram; Pinterest
