Bucket ID,Bucket Name,Purpose,Description,Recommended Percentage of Total Content,Suitable Platforms,Suitable Personas,Suitable Product Types,Example Content Angles,Example Hooks,Example CTAs,Tone,Content Formats
BUCKET_001,Education,"Help audiences understand lip products, finishes and routines.",Explain one useful beauty idea in simple language.,10,Instagram; Pinterest; Facebook,PERSONA_002; PERSONA_004; PERSONA_006; PERSONA_009,lipsticks; liners; tints; glosses,Gloss versus oil; satin versus glossy; how to layer a liner,Your lip finish changes more than you think.,Save this for your next lip routine.,clear; useful,carousel; short video; static
BUCKET_002,Product Spotlight,Drive product discovery through one clear product story.,"Show what the product is, feels like and fits into.",12,Instagram; Facebook; Pinterest; YouTube Shorts,PERSONA_001; PERSONA_003; PERSONA_005; PERSONA_007; PERSONA_008,all,Shade reveal; texture close-up; flavour story,Meet the lip step you will keep reaching for.,Find your shade.,polished; descriptive,reel; carousel; product image
BUCKET_003,Lip Care Tips,Make lip-care routines feel simple and useful.,Share routine ideas without medical or therapeutic claims.,10,Instagram; Pinterest; Facebook,PERSONA_002; PERSONA_004; PERSONA_006; PERSONA_010,balms; masks; scrubs; treatments,Night routine; prep before colour; desk balm routine,Before the colour comes the prep.,Save this routine.,helpful; warm,carousel; reel; checklist
BUCKET_004,Lifestyle,Connect products to everyday moments.,Place lip products inside realistic routines and moods.,9,Instagram; Pinterest; Facebook,PERSONA_002; PERSONA_004; PERSONA_007; PERSONA_010,balms; oils; masks; glosses,Desk ritual; Sunday reset; getting ready,Your five-minute routine can still feel special.,Build your little ritual.,warm; editorial,reel; photo; carousel
BUCKET_005,Entertainment,Create light beauty content that earns attention.,"Use humour, trends and visual moments without losing brand polish.",7,Instagram; YouTube Shorts; Facebook,PERSONA_001; PERSONA_003; PERSONA_005,glosses; tints; balms,Lip-product personality; shade reactions; relatable moments,POV: you said one lip product.,Tag the friend who gets it.,playful; witty,reel; short video; meme-style graphic
BUCKET_006,Engagement,Invite audiences to participate and share preferences.,"Use polls, choices, comments and simple prompts.",7,Instagram; Facebook; Pinterest,PERSONA_001; PERSONA_003; PERSONA_005; PERSONA_009,all,Pick a shade; flavour bracket; finish quiz,Pick your side: glossy or satin?,Tell us your pick.,conversational,poll; carousel; question post
BUCKET_007,Social Proof,Show product experiences without inventing reviews.,Use verified customer feedback when available or frame as product reactions and use cases.,7,Instagram; Facebook; Pinterest,PERSONA_001; PERSONA_003; PERSONA_007; PERSONA_008,all,Verified review snippets; repeat-purchase stories,The detail people notice first.,Explore the product.,trustworthy; specific,carousel; quote card; reel
BUCKET_008,Flavour/Sensory,Make flavour and texture a memorable part of product discovery.,Describe sensory cues without implying ingestion or medical effects.,9,Instagram; YouTube Shorts; Pinterest,PERSONA_001; PERSONA_003; PERSONA_005; PERSONA_010,glosses; balms; masks; oils,Texture ASMR; flavour pairings; macro swipes,If vanilla had a lip gloss.,Which one would you pick?,sensory; playful,reel; macro video; photo
BUCKET_009,Ingredient Spotlight,Explain why selected cosmetic ingredients appear in formulas.,Keep ingredient education consumer-friendly and non-medical.,8,Instagram; Pinterest; LinkedIn; Facebook,PERSONA_006; PERSONA_007,serums; oils; masks; balms,Jojoba; shea; squalane; vitamin E,What does this ingredient actually do in a lip formula?,Save the ingredient guide.,informative; transparent,carousel; article; infographic
BUCKET_010,Brand Story,Build a distinct world around the fictional brand.,"Share design choices, naming, flavour development and brand principles.",6,Instagram; LinkedIn; Facebook; Pinterest,PERSONA_003; PERSONA_007; PERSONA_010,all,Why the brand chose lip-first; naming stories,We built the brand around the products people actually reach for.,Meet the world behind the lip.,warm; thoughtful,carousel; founder-style post; video
BUCKET_011,Community,Create a sense of participation around routines and preferences.,Celebrate audience routines and useful community prompts.,6,Instagram; Facebook; Pinterest,PERSONA_001; PERSONA_002; PERSONA_004; PERSONA_010,all,Bag checks; nightstand rituals; routine prompts,Show us the lip product that lives in your bag.,Share your routine.,friendly; inclusive,UGC prompt; carousel; photo
BUCKET_012,Promotion,"Communicate launches, bundles and limited offers clearly.",Keep promotions useful and avoid manipulative urgency.,9,Instagram; Facebook; YouTube Shorts; Pinterest,PERSONA_001; PERSONA_003; PERSONA_008,all,Bundles; launch windows; routine sets,Your lip routine just got a little easier to shop.,Shop the collection.,direct; polished,carousel; reel; static
