Rule ID,Rule Type,Rule,Recommended Structure,Recommended Length,Avoid
ALT_001,Core structure,Use product name + product type + visible action or finish + relevant context.,Product + type + visible characteristic + setting,80-160 characters where practical,"Avoid keyword stuffing, claims not visible in image, and subjective superlatives."
ALT_002,Product-only,"Describe the product name, category, colour/finish and visible packaging details.","[Product Name], [category], [shade/finish], [visible packaging detail]",60-140 characters,Do not add flavour unless the image communicates it.
ALT_003,Lifestyle,"Describe who or what appears, the routine context, product and visible action.",[Person/context] using [product] during [routine],90-180 characters,"Do not infer identity, emotions or demographics not visible."
ALT_004,Swatch,"Include product name, shade family, swatch intensity and visible finish.","[Product] swatches in [shade family], from sheer to [intensity], [finish]",70-150 characters,Do not claim exact colour reproduction across screens.
ALT_005,Ingredient image,Name visible ingredient props and connect them to the product only if relevant.,"[Ingredient] beside [product], highlighting the formula story",80-160 characters,Do not imply that the ingredient treats a medical condition.
ALT_006,Flavour image,Describe product plus visible flavour cue and visual mood.,[Product] beside [flavour cue] with [visual mood] styling,80-160 characters,Do not suggest the cosmetic product is food.
ALT_007,Exclude,"Exclude decorative adjectives, repeated keywords, hidden text, exact hex colours, and promotional urgency.",N/A,N/A,Keep the description useful to someone who cannot see the image.
ALT_008,Accessibility,"Write as a natural description first, then add only the product information needed for context.",Natural sentence with product context,Usually under 180 characters,Do not start with Image of or Picture of unless needed.
ALT_009,Video frame,"Describe the key visible moment, product and action.",[Person/product] applying or showing [product] with [visible result/finish],80-160 characters,Do not describe audio or claims not visible.
ALT_010,Keyword balance,Use one primary product keyword and only relevant secondary descriptors.,Product keyword + category + one or two attributes,Usually under 160 characters,Never repeat the same keyword unnaturally.
