Flavour ID,Flavour Name,Flavour Family,Description,Mood,Suitable Product Types,Suitable Audience,Suggested Content Angle,Suggested Sensory Vocabulary
FLAV_001,Vanilla Cloud,Vanilla,"Soft, creamy vanilla with a warm dessert-like character.",cozy,glosses; balms; masks; lip oils,comfort-seeking beauty buyers,your softest lip ritual,creamy; warm; smooth
FLAV_002,Strawberry Milk,Berry,Sweet strawberry with a creamy milky impression.,playful,glosses; balms; tints; masks,college glow seekers; collectors,a soft strawberry moment,juicy; creamy; sweet
FLAV_003,Cherry Pop,Fruit,"Bright cherry with a juicy, candy-like character.",bold,tints; stains; glosses,trend-driven shoppers,turn up the cherry mood,juicy; bright; vibrant
FLAV_004,Peach Fizz,Stone Fruit,Ripe peach with a light sparkling twist.,sunny,glosses; oils; balms,everyday beauty users,"fresh gloss, peach energy",juicy; fizzy; fresh
FLAV_005,Watermelon Mist,Melon,"Crisp watermelon with a cool, watery impression.",fresh,balms; glosses; tints,college glow seekers,your fresh-lip reset,crisp; juicy; cool
FLAV_006,Coconut Cream,Tropical,Creamy coconut with a soft beachy character.,relaxed,masks; balms; oils,self-care enthusiasts,slow down with coconut,creamy; tropical; soft
FLAV_007,Mint Leaf,Fresh,"Clean mint with a bright, refreshing profile.",energised,balms; glosses; treatments,minimalist buyers,freshen the ritual,cool; crisp; bright
FLAV_008,Berry Velvet,Berry,A layered berry profile with a plush dessert feel.,luxe,lipsticks; masks; glosses,premium beauty lovers,"berry, but make it plush",velvety; ripe; rich
FLAV_009,Salted Caramel,Gourmand,Buttery caramel balanced by a subtle salty note.,indulgent,masks; balms; glosses,self-care enthusiasts,dessert for your routine,buttery; warm; decadent
FLAV_010,Cocoa Drizzle,Gourmand,Warm cocoa with a smooth chocolate finish.,cozy,balms; masks; glosses,premium beauty lovers,a cocoa-toned comfort ritual,chocolatey; smooth; warm
FLAV_011,Mango Nectar,Tropical Fruit,"Ripe mango with a juicy, sunny character.",joyful,oils; glosses; balms,trend-driven shoppers,summer in one swipe,juicy; ripe; sunny
FLAV_012,Rose Cream,Floral,Soft rose layered with a creamy finish.,romantic,masks; balms; oils,premium beauty lovers,rose without the fuss,floral; creamy; delicate
FLAV_013,Iced Coffee,Gourmand,Roasted coffee with a cool creamy edge.,focused,balms; glosses; treatments,busy young professionals,your desk-side lip ritual,roasted; creamy; cool
FLAV_014,Lychee Pearl,Tropical Fruit,Delicate lychee with a light pearly character.,playful-luxe,glosses; oils; balms,lip product collectors,a sheer pearly fruit moment,juicy; airy; luminous
FLAV_015,Raspberry Sorbet,Berry,Tart raspberry with a chilled dessert impression.,bright,tints; glosses; balms,college glow seekers,"berry, but brighter",tart; juicy; cool
FLAV_016,Pear Vanilla,Fruit Gourmand,Fresh pear softened by creamy vanilla.,soft,glosses; oils; masks,minimalist buyers,clean sweetness,fresh; creamy; delicate
FLAV_017,Fig Honey,Fruit Gourmand,Jammy fig with warm honey notes.,refined,masks; balms; lipsticks,premium beauty lovers,quietly indulgent,jammy; warm; plush
FLAV_018,Plum Tea,Fruit Tea,Ripe plum with a subtle tea-like dryness.,moody,lipsticks; stains; masks,premium beauty lovers,your moody lip ritual,ripe; aromatic; velvety
FLAV_019,Lemon Cream,Citrus,Bright lemon softened by a creamy note.,cheerful,balms; glosses,budget-conscious buyers,a little brightness,zesty; creamy; fresh
FLAV_020,Orange Blossom,Citrus Floral,Fresh citrus blossom with a delicate floral character.,elegant,oils; masks; balms,premium beauty lovers,"soft citrus, polished finish",citrusy; floral; airy
FLAV_021,Pistachio Cream,Gourmand,Nutty pistachio with a creamy dessert profile.,playful-luxe,masks; glosses; balms,collectors; self-care enthusiasts,your unexpected sweet treat,nutty; creamy; rich
FLAV_022,Blackberry Tea,Berry Tea,Dark blackberry balanced by a refined tea note.,sophisticated,lipsticks; stains; masks,premium beauty lovers,"deep berry, soft ritual",dark fruit; aromatic; refined
FLAV_023,Apple Crumble,Gourmand Fruit,Baked apple with cinnamon-like warmth.,cozy,masks; balms,self-care enthusiasts,weekend comfort in a swipe,baked; warm; buttery
FLAV_024,Ginger Pear,Spiced Fruit,Fresh pear with a subtle ginger sparkle.,bright-refined,oils; glosses; balms,busy young professionals,fresh with a twist,crisp; spicy; juicy
FLAV_025,Honey Peach,Stone Fruit Gourmand,Juicy peach with a warm honey note.,sunny,glosses; balms; masks,everyday beauty users,"peach, warmed up",juicy; golden; soft
FLAV_026,Rose Lychee,Floral Fruit,Fresh lychee with a light rose finish.,romantic-fresh,oils; glosses; masks,trend-driven shoppers,"floral fruit, but effortless",juicy; floral; airy
FLAV_027,Blueberry Muffin,Gourmand Berry,"Blueberry with a baked, creamy character.",comforting,balms; masks; glosses,college glow seekers,soft sweetness for slow mornings,jammy; baked; creamy
FLAV_028,Pomegranate Fizz,Fruit,Tart pomegranate with a sparkling impression.,energetic,tints; glosses; oils,trend-driven shoppers,brighten the mood,tart; sparkling; juicy
FLAV_029,Vanilla Chai,Spiced Gourmand,Creamy vanilla with warm chai spices.,warm,masks; balms; treatments,self-care enthusiasts,"cozy, but polished",spiced; creamy; warm
FLAV_030,Cocoa Mint,Gourmand Fresh,Dark cocoa balanced with a cool mint note.,cool-cozy,balms; glosses; treatments,busy young professionals,cool meets cocoa,cool; chocolatey; smooth
