Persona ID,Persona Name,Age Range,Lifestyle,Occupation/Student Status,Beauty Habits,Lip-Care Habits,Makeup Habits,Main Needs,Pain Points,Buying Motivations,Purchase Triggers,Objections,Preferred Products,Preferred Flavours,Preferred Finishes,Ingredient Interests,Preferred Platforms,Preferred Content Types,Preferred Content Buckets,Preferred Tone,Messaging That Resonates,Messaging That Does Not Resonate,Best CTA Types,Best Posting Days,Best Posting Times
PERSONA_001,College Glow Seeker,18-22,"Campus life, social plans, quick beauty routines",Student,"Collects easy, affordable lip products",Uses balm and gloss throughout the day,Light makeup with trend-led shades,"Easy colour, shine and portability",Products that feel too complicated,Fun shades; affordable discovery; sensory appeal,New shade drops; short videos; peer recommendations,Price; stickiness; shade uncertainty,glosses; tinted balms; tints,strawberry; cherry; watermelon; raspberry,glossy; juicy; soft tint,"simple, recognisable ingredients",Instagram; YouTube Shorts,reels; swatches; polls; before/after styling,Product Spotlight; Flavour/Sensory; Entertainment; Engagement,friendly; playful; quick,Show me the shade and how it feels,Hard-sell language; overly technical copy,shop; comment; save,Friday; Saturday,18:00-21:00
PERSONA_002,Busy Young Professional,23-30,Fast-paced workday with polished but low-effort beauty,Professional,Uses a small daily makeup kit,Keeps balm or gloss at desk and in bag,"Natural base, defined lips, quick touch-ups",Low-maintenance polish,Frequent reapplication; messy textures,Convenience; elegant finish; portability,Workday routines; desk beauty; quick comparisons,Price without clear value; overly playful positioning,lip oils; liners; tinted balms; treatments,vanilla; iced coffee; pear vanilla,sheer; satin; glossy,squalane; jojoba; vitamin E,Instagram; Pinterest,routine videos; carousels; product explainers,Lifestyle; Education; Product Spotlight,clean; confident; useful,Make the five-minute routine easier,Exaggerated promises; slang-heavy copy,discover; save; shop,Tuesday; Thursday,12:00-14:00
PERSONA_003,Lip Product Collector,20-35,Beauty enthusiast who enjoys variety and launches,Student/Professional,"Tries shades, textures and limited concepts",Owns multiple lip formats,Experiments with colour and finishes,Novelty and curation,Products that feel repetitive,Unique flavours; shades; packaging,Drops; shade families; collection reveals,Duplicate shades; weak packaging,glosses; oils; lipsticks; stains; masks,unusual combinations; berry; lychee,shimmer; lacquer; velvet; stain,interesting texture ingredients,Instagram; Pinterest,swatch grids; collection reels; close-ups,Flavour/Sensory; Product Spotlight; Promotion,excited; detailed; playful,Give me a reason to add this one,Generic beauty copy,shop; save; share,Wednesday; Sunday,19:00-22:00
PERSONA_004,Minimalist Beauty Buyer,24-38,Prefers fewer products that work across routines,Professional,Keeps a simple makeup bag,Uses one balm and one everyday lip colour,"Natural, polished makeup",Versatility and comfortable textures,Too many choices; heavy formulas,Multi-use products; subtle shades; easy routines,one-product routines; neutral shades,Too much fragrance; confusing claims,balms; tinted balms; lip oils; liners,vanilla; mint; pear vanilla,sheer; satin; balm,jojoba; shea; squalane,Instagram; Pinterest,minimal flat lays; routine guides; shade charts,Education; Lifestyle; Product Spotlight,calm; clear; refined,Tell me exactly where this fits in my routine,Hype without information,discover; save,Monday; Tuesday,07:30-09:00
PERSONA_005,Trend-Driven Beauty Shopper,18-28,Tracks beauty trends and visual aesthetics,Student/Creator/Professional,Quickly tests trending formats,"Rotates glosses, oils and tints",Trend-led colours and finishes,Novelty and social relevance,Trends that fade quickly,Visual impact; shareability; new textures,trend formats; shade reveals; GRWM,Brand feels behind the trend,plumpers; glosses; oils; stains,cherry; mango; lychee; pomegranate,glass; juicy; shimmer,botanical extracts; conditioning oils,Instagram; YouTube Shorts; Pinterest,fast reels; transitions; close-up swatches,Entertainment; Product Spotlight; Flavour/Sensory,energetic; witty; current,Make this trend easy to try,Trying too hard to sound young,try; comment; share,Thursday; Friday,19:00-22:00
PERSONA_006,Ingredient-Conscious Consumer,23-40,Reads labels and researches cosmetic ingredients,Professional/Student,Checks ingredient lists before purchase,Uses balm or treatment consistently,Simple makeup with emphasis on comfort,Ingredient transparency and clear use,Vague ingredient claims,Ingredient purpose; formula clarity; texture,ingredient explainers; formula breakdowns,Unsupported clean or natural claims,serums; treatments; masks; balms,mint; rose; coconut; vanilla,balmy; silky; cushiony,jojoba; shea; glycerin; vitamin E,Instagram; Pinterest; Facebook,ingredient carousels; explainers; FAQs,Ingredient Spotlight; Education; Lip Care Tips,informative; calm; transparent,Explain what the ingredient actually does,Fear-based ingredient language,save; discover; shop,Monday; Wednesday,20:00-22:00
PERSONA_007,Premium Beauty Lover,27-45,"Enjoys refined packaging, rituals and sensory details",Professional,Treats beauty as a small daily luxury,"Uses masks, oils and lipsticks as rituals",Polished makeup with curated shades,Sensory experience and elegant design,Cheap-feeling packaging; loud branding,Texture; finish; ingredients; ritual,slow beauty visuals; evening routines,Price without sensory or formula story,lip masks; oils; lipsticks; serums,rose cream; fig honey; blackberry tea,velvet; luminous; satin,squalane; rose extract; mango butter,Instagram; Pinterest; Facebook,editorial photography; ingredient stories; rituals,Lifestyle; Brand Story; Product Spotlight,quiet; sensual; refined,Turn an everyday step into a small ritual,Discount-heavy language,discover; shop; save,Sunday; Thursday,20:00-22:00
PERSONA_008,Budget-Conscious Beauty Buyer,18-32,Plans purchases and looks for everyday value,Student/Professional,Rebuys practical products,"Uses balm, tint and gloss regularly",Simple everyday makeup,Good experience at accessible price,Premium prices without obvious value,Everyday utility; shade range; multipurpose use,value bundles; routine pairings; comparisons,Price; unclear quantity; niche products,balms; glosses; tinted balms; liners,strawberry; peach; mint; vanilla,glossy; sheer; satin,jojoba; castor oil; shea,Instagram; Facebook; YouTube Shorts,value carousels; routines; bundle reels,Product Spotlight; Promotion; Education,friendly; practical; straightforward,Show me what I get for the price,Luxury language without substance,shop; save; share,Tuesday; Friday,17:00-20:00
PERSONA_009,Everyday Makeup User,21-40,"Uses makeup for work, errands and social plans",Professional/Student,Keeps dependable products close,"Applies balm, tint or lipstick daily","Classic, wearable colours",Reliable shade and comfortable application,Hard-to-match shades; complicated routines,Ease; wear feel; colour versatility,shade guides; office-to-evening routines,Unclear finish; difficult application,lipsticks; liners; tinted balms; glosses,peach; cherry; vanilla; berry,satin; glossy; soft matte,castor oil; waxes; vitamin E,Instagram; Facebook; Pinterest,shade guides; tutorials; carousels,Education; Product Spotlight; Lifestyle,helpful; polished; approachable,Here is exactly how this fits your day,Overly dramatic transformation claims,discover; shop; save,Monday; Thursday,08:00-10:00
PERSONA_010,Self-Care Enthusiast,22-42,"Builds small rituals around skincare, bath and beauty",Professional/Student,Enjoys evening routines and sensory products,"Uses masks, balms and scrubs at night","Minimal makeup, stronger care routine","Ritual, texture and sensory comfort",Routines that feel clinical or boring,Relaxation; texture; flavour; ritual,night routines; shelf moments; sensory close-ups,Overly clinical language; medical promises,lip masks; sleeping masks; scrubs; butters,coconut cream; salted caramel; vanilla chai; cocoa mint,buttery; plush; creamy,shea; mango butter; coconut oil; chamomile,Instagram; Pinterest; Facebook,ASMR reels; evening routines; flat lays,Lifestyle; Lip Care Tips; Flavour/Sensory,warm; slow; comforting,Make tonight's routine a little nicer,Fear-based skin language,save; shop; share,Sunday; Saturday,21:00-23:00
