Template ID,Platform,Content Bucket,Objective,Hook Structure,Body Structure,CTA Structure,Hashtag Structure,Visual Structure
TEMPLATE_001,Instagram,Product Spotlight,Product discovery,[Unexpected product detail] + [sensory hook],"Introduce [PRODUCT_NAME]. Describe [HERO_BENEFIT], [TEXTURE], [FINISH], [FLAVOUR]. Add one practical use case.",[CTA_PRODUCT_DISCOVERY],[3-5 relevant tags],Macro product shot + shade swatch + texture close-up
TEMPLATE_002,Instagram,Education,Teach a useful beauty concept,[Question or misconception],Explain [CONCEPT] in 3 short points. Connect it to [PRODUCT_TYPE] without making medical claims.,[CTA_SAVE],[2-5 education tags],Carousel: hook + 3 points + simple takeaway
TEMPLATE_003,Instagram,Lip Care Tips,Routine education,[Routine problem],Give a simple [TIME_OF_DAY] routine using [PRODUCT_TYPES]. Keep the steps practical and cosmetic.,[CTA_SAVE],[2-5 lip-care tags],Step-by-step carousel or routine reel
TEMPLATE_004,Instagram,Flavour/Sensory,Sensory discovery,[Flavour comparison or vivid sensory line],Describe [FLAVOUR] through [SENSORY_WORDS]. Pair it with [TEXTURE] and [PRODUCT_NAME].,[CTA_COMMENT],[2-5 sensory tags],Macro texture + flavour props + product
TEMPLATE_005,Instagram,Engagement,Drive comments,[This-or-that question],Present [OPTION_A] versus [OPTION_B] with one line about each. Ask audience to choose.,[CTA_COMMENT],[1-4 community tags],Two-panel visual or shade comparison
TEMPLATE_006,Instagram,Brand Story,Build brand meaning,[Brand observation],Explain why Velorié values [BRAND_VALUE]. Connect the principle to [PRODUCT_EXAMPLE].,[CTA_FOLLOW],[2-4 brand tags],Editorial product image + short text cards
TEMPLATE_007,Instagram,Promotion,Drive product/shop discovery,[Clear offer or collection announcement],"State [OFFER], [PRODUCTS], [DATES if relevant]. Add concise product reasons.",[CTA_SHOP],[2-5 product tags],Product lineup + offer detail + shop frame
TEMPLATE_008,Instagram,Social Proof,Use verified customer feedback,[Verified customer phrase or specific observation],"Introduce the verified feedback, name the product and explain the relevant product detail. Do not invent review text.",[CTA_PRODUCT_DISCOVERY],[2-4 product tags],Review card + product image
TEMPLATE_009,Instagram,Lifestyle,Place product in routine,[Moment-of-day hook],"Describe the setting, routine and product role. Keep the product useful rather than over-selling.",[CTA_SAVE],[2-5 lifestyle tags],Lived-in routine scene + product
TEMPLATE_010,Instagram,Ingredient Spotlight,Explain an ingredient,[Ingredient question],"Explain [INGREDIENT_NAME], [COSMETIC_ROLE] and [COMMONLY_ASSOCIATED_BENEFIT]. Add [PRODUCTS] that contain it.",[CTA_SAVE],[2-5 ingredient tags],Ingredient macro + formula/product image
TEMPLATE_011,YouTube Shorts,Product Spotlight,Fast discovery,[Visual payoff in first second],"Show [PRODUCT_NAME], [SWATCH], [TEXTURE] and [FINISH] in quick cuts.",[CTA_COMMENT],Metadata keywords only,9:16 macro swatch sequence
TEMPLATE_012,YouTube Shorts,Entertainment,Relatable beauty moment,[POV or relatable situation],"Show the scenario, product reaction and one useful product detail.",[CTA_SHARE],Metadata keywords only,Fast cuts; captions; close-ups
TEMPLATE_013,LinkedIn,Brand Story,Thought leadership around brand building,[Observation about beauty or consumer behaviour],"Explain the observation, the fictional brand principle and one concrete example from the catalogue.",[CTA_COMMENT],2-5 relevant professional tags,Clean graphic + product detail
TEMPLATE_014,LinkedIn,Ingredient Spotlight,Explain formulation choices,[Ingredient misconception or question],"Explain the cosmetic role, consumer relevance and communication boundary.",[CTA_SAVE],2-5 ingredient/formulation tags,Simple ingredient explainer graphic
TEMPLATE_015,Facebook,Community,Invite participation,[Relatable routine question],Ask about [PRODUCT/HABIT]. Offer two or three clear choices.,[CTA_COMMENT],2-4 community tags,Friendly product image + question
TEMPLATE_016,Facebook,Promotion,Make an offer easy to understand,[Offer headline],"List products, price/offer details and use case. Avoid unsupported urgency.",[CTA_SHOP],2-5 product tags,Product grid + offer details
TEMPLATE_017,Pinterest,Education,Create evergreen discovery content,[Search-friendly topic],Explain [TOPIC] with concise steps or comparisons.,[CTA_SAVE],Descriptive keywords; limited tags,Tall infographic or carousel
TEMPLATE_018,Pinterest,Lifestyle,Inspire a routine,[Routine title],"Show [PRODUCTS] in a realistic morning, desk or night ritual.",[CTA_SAVE],Descriptive keywords; limited tags,Vertical editorial routine image
TEMPLATE_019,Email,Product Spotlight,Drive product discovery,[Subject: product sensory hook],Greeting + product story + hero benefit + texture/flavour + use case + product details.,[CTA_SHOP],Not applicable,Hero product image + swatch + CTA button
TEMPLATE_020,Email,Product Launch,Introduce a new product,[Subject: launch + product name],Launch story + why it exists + shade/flavour + formula highlights + how to use + launch details.,[CTA_LAUNCH],Not applicable,Hero image + detail modules + CTA
TEMPLATE_021,Instagram,Seasonal,Connect product to season,[Seasonal sensory hook],Describe seasonal mood + relevant product + routine + practical use.,[CTA_PRODUCT_DISCOVERY],Season + product tags,Seasonal props + product close-up
TEMPLATE_022,Instagram,Social Proof,Show repeat use,[Specific verified use-case observation],"Share verified customer context, product and routine fit. Avoid exaggerated outcomes.",[CTA_SHOP],Product tags,Routine image + verified quote
