Ingredient ID,Ingredient Category,Ingredient Name,Simple Consumer-Friendly Description,Cosmetic Role,Commonly Associated Benefit,Suitable Product Types,Suitable Marketing Language,Claims to Avoid,Content Angles
ING_001,Emollient Oil,Jojoba Oil,A lightweight plant-derived oil used to condition and soften the feel of lips.,emollient,Helps lips feel soft and conditioned,lip oils; lip balms; lip serums; lip masks,soft-feeling; conditioning; silky,medical or healing claims,texture education; ingredient spotlight
ING_002,Butter,Shea Butter,A rich plant butter commonly used to give lip formulas a cushioned feel.,emollient,"Helps create a comfortable, nourished-feeling finish",lip balms; lip masks; lipsticks; lip butters,rich; comforting; buttery,repairs damage; treats disease,winter routine; texture; overnight care
ING_003,Butter,Mango Butter,A smooth plant butter that adds richness without making a formula feel overly heavy.,emollient,"Supports a soft, supple-feeling finish",lip masks; lip balms; lip butters,smooth; creamy; softening,heals cracked lips,butter textures; ingredient stories
ING_004,Oil,Squalane,"A lightweight cosmetic emollient known for a smooth, elegant skin feel.",emollient,"Leaves a silky, non-heavy feel",lip oils; lip serums; treatments,silky; lightweight; cushiony,changes skin biology; medical treatment,ingredient education; texture
ING_005,Oil,Sweet Almond Oil,A familiar cosmetic oil used to add slip and softness to lip formulas.,emollient,Helps lips feel conditioned and smooth,lip oils; balms; scrubs,smooth; silky; soft,treats eczema or irritation,ingredient spotlight
ING_006,Oil,Coconut Oil,A rich-feeling cosmetic oil often used to add softness and glide.,emollient,Adds emollience and glide,balms; masks; lip oils; scrubs,creamy; tropical; rich,heals or protects against infection,sensory content
ING_007,Oil,Grapeseed Oil,"A light cosmetic oil that can give formulas a fluid, elegant feel.",emollient,Supports a lightweight conditioned feel,lip oils; serums; glosses,light; fluid; silky,antioxidant medical claims,texture comparison
ING_008,Oil,Rosehip Seed Oil,A botanical cosmetic oil valued for its lightweight conditioning feel.,emollient,Adds softness and a polished feel,lip serums; oils; masks,botanical; silky; refined,scar removal; tissue repair,ingredient story
ING_009,Oil,Avocado Oil,A richer botanical oil used for its comfortable emollient feel.,emollient,Adds richness and softness,balms; masks; lip oils,rich; creamy; plush,heals or reverses conditions,winter beauty
ING_010,Oil,Castor Seed Oil,"A viscous cosmetic oil that adds shine, slip and body to lip formulas.",emollient,Supports glossy slip and cushion,lip glosses; lip oils; lipsticks,glossy; cushiony; plush,medical protection claims,why gloss feels glossy
ING_011,Wax,Beeswax,A natural wax commonly used to structure balms and improve staying power.,structuring wax,Helps create a protective-feeling balm texture,balms; tinted balms; lipsticks,firm; smooth; structured,heals wounds,formula education
