Dataset,Purpose,Recommended CSV Filename,Rows,Fields
Brand_Profile,Brand profile and messaging foundation,brand_profile.csv,1,Brand ID; Brand Name; Tagline; Mission; Vision; Brand Story; Brand Personality; Brand Values; Brand Positioning; Brand Promise; Target Market; Geographic Market; Price Positioning; Brand Aesthetic; Visual Identity Description; Preferred Colour Palette; Photography Style; Packaging Style; Brand Vocabulary; Words the Brand Commonly Uses; Words the Brand Should Avoid; Brand Voice; Tone Characteristics; Communication Style; Key Selling Themes; Core Product Philosophy; Ingredient Philosophy; Flavour Philosophy; Shade Philosophy; Sustainability Positioning; General Content Strategy
Product_Catalogue,Connected product catalogue for automated product selection,product_catalogue.csv,30,Product ID; Product Name; Product Category; Product Subcategory; Product Description; Key Benefits; Hero Benefit; Secondary Benefits; Key Ingredients; Ingredient Benefits; Flavour; Scent; Texture; Finish; Shade; Shade Family; Shade Description; Ideal Use; Recommended Time of Day; Suitable Customer Persona; Price Tier; Product Personality; Main Marketing Angle; Secondary Marketing Angles; Suggested CTA; Suggested Content Buckets; Suitable Platforms; Image Concept; Visual Mood
Ingredient_Library,Cosmetic ingredient knowledge base with safe marketing boundaries,ingredient_library.csv,42,Ingredient ID; Ingredient Category; Ingredient Name; Simple Consumer-Friendly Description; Cosmetic Role; Commonly Associated Benefit; Suitable Product Types; Suitable Marketing Language; Claims to Avoid; Content Angles
Flavour_Library,Sensory flavour concepts for product and content matching,flavour_library.csv,30,Flavour ID; Flavour Name; Flavour Family; Description; Mood; Suitable Product Types; Suitable Audience; Suggested Content Angle; Suggested Sensory Vocabulary
Customer_Personas,Audience segments for content targeting,customer_personas.csv,10,Persona ID; Persona Name; Age Range; Lifestyle; Occupation/Student Status; Beauty Habits; Lip-Care Habits; Makeup Habits; Main Needs; Pain Points; Buying Motivations; Purchase Triggers; Objections; Preferred Products; Preferred Flavours; Preferred Finishes; Ingredient Interests; Preferred Platforms; Preferred Content Types; Preferred Content Buckets; Preferred Tone; Messaging That Resonates; Messaging That Does Not Resonate; Best CTA Types; Best Posting Days; Best Posting Times
Content_Buckets,Content mix categories used to balance publishing,content_buckets.csv,12,Bucket ID; Bucket Name; Purpose; Description; Recommended Percentage of Total Content; Suitable Platforms; Suitable Personas; Suitable Product Types; Example Content Angles; Example Hooks; Example CTAs; Tone; Content Formats
Platform_Rules,Fictional planning rules by social platform,platform_rules.csv,5,Platform ID; Platform; Primary Purpose; Ideal Content Types; Recommended Post Length; Hook Style; CTA Style; Hashtag Approach; Image Requirements; Alt-Text Guidance; Recommended Posting Days; Recommended Posting Windows; Suitable Content Buckets; Suitable Personas; Tone; Content Frequency
Posting_Time_Windows,Persona and bucket-aware publishing windows,posting_time_windows.csv,210,Time ID; Platform; Day; Time Window; Audience/Persona; Content Bucket; Content Type; Priority Score
Content_Templates,Reusable structures rather than finished posts,content_templates.csv,22,Template ID; Platform; Content Bucket; Objective; Hook Structure; Body Structure; CTA Structure; Hashtag Structure; Visual Structure
Hook_Library,100 original beauty and lip-care hook structures,hook_library.csv,100,Hook ID; Category; Hook Structure; Suggested Variables
CTA_Library,50 reusable calls to action,cta_library.csv,50,CTA ID; Category; CTA
Hashtag_Meta_Library,Generic beauty metadata and hashtag terms,hashtag_meta_library.csv,62,Tag ID; Category; Tag/Keyword; Plain Keyword; Tier; Usage Rule
Image_Style_Library,30 visual directions for product and lifestyle content,image_style_library.csv,30,Image ID; Visual Style; Background; Lighting; Props; Composition; Colour Mood; Product Placement; Model/Persona; Suitable Product Types; Suitable Content Buckets; Suitable Platforms
Alt_Text_Rules,Rules for programmatic accessible image descriptions,alt_text_rules.csv,10,Rule ID; Rule Type; Rule; Recommended Structure; Recommended Length; Avoid
Image_Title_Rules,Rules for concise SEO-friendly image titles,image_title_rules.csv,8,Rule ID; Rule Type; Naming Structure; Purpose; Keyword Usage; Maximum Recommended Length; Example
Campaign_Structure,"Daily structures for 7, 14 and 30 day campaigns",campaign_structure.csv,51,Campaign Row ID; Campaign Duration; Day; Number of Posts; Platform Distribution; Content Bucket Distribution; Persona Distribution; Product Distribution; Rotation Rule; Format Note
