Product ID,Product Name,Product Category,Product Subcategory,Product Description,Key Benefits,Hero Benefit,Secondary Benefits,Key Ingredients,Ingredient Benefits,Flavour,Scent,Texture,Finish,Shade,Shade Family,Shade Description,Ideal Use,Recommended Time of Day,Suitable Customer Persona,Price Tier,Product Personality,Main Marketing Angle,Secondary Marketing Angles,Suggested CTA,Suggested Content Buckets,Suitable Platforms,Image Concept,Visual Mood
PRODUCT_001,Cloud Glaze,Lip Gloss,High-shine gloss,"A clear vanilla gloss with a cushioned, glassy feel for easy everyday shine.",high shine; comfortable slip; easy layering,Glossy shine,Cushioned feel; layering-friendly,castor seed oil; polybutene; vitamin E,castor seed oil adds slip; polybutene supports glossy cushion; vitamin E supports conditioning feel,Vanilla Cloud,soft vanilla,cushiony gel,glassy,Clear,Clear,Transparent shine with a soft wet-look effect.,Top-up shine; solo or over colour,Anytime,PERSONA_002,Accessible,polished-playful,The everyday glass-lip step,layering; desk beauty,Try the clear shine,Product Spotlight; Flavour/Sensory,Instagram; YouTube Shorts,macro gloss swipe on a mirrored compact,glossy; airy; clean
PRODUCT_002,Strawberry Milk Drip,Lip Gloss,Tinted gloss,A sheer strawberry gloss that gives lips a fresh wash of pink with a creamy-fruit flavour.,sheer pink tint; glossy finish; smooth glide,Sheer strawberry colour,Fresh shine; easy layering,castor seed oil; strawberry extract; vitamin E,castor seed oil supports slip; strawberry extract adds fruit-led story; vitamin E supports conditioning feel,Strawberry Milk,sweet strawberry,smooth syrup,wet gloss,Sheer Pink,Pink,A translucent milky pink.,Campus days; casual plans,Day,PERSONA_001,Accessible,sweet-playful,Strawberry colour without the fuss,swatches; flavour,See the strawberry tint,Flavour/Sensory; Product Spotlight,Instagram; YouTube Shorts,pink gloss beside strawberries and a compact mirror,juicy; creamy; playful
PRODUCT_003,Cherry Voltage,Lip Tint,Water tint,"A buildable cherry tint with a fresh, lightweight feel.",buildable colour; lightweight feel; easy layering,Buildable cherry colour,Sheer-to-medium intensity; fresh finish,cherry extract; glycerin; propanediol,cherry extract adds fruit story; glycerin supports moisturised feel; propanediol supports formula texture,Cherry Pop,bright cherry,watery tint,juicy stain,Cherry Red,Red,A fresh blue-red cherry wash.,Quick colour; cheeks and lips,Day,PERSONA_005,Accessible,bold-fresh,A juicy tint for fast colour,trend; quick routine,Build your cherry,Product Spotlight; Lifestyle,Instagram; YouTube Shorts,two-layer swatch from sheer to vivid,bright; juicy; fresh
PRODUCT_004,Peach Fizz Oil,Lip Oil,Tinted lip oil,"A peach-toned lip oil with a fluid, glossy feel and soft fruit flavour.",peach tint; glossy cushion; easy reapplication,Glossy peach wash,Lightweight feel; conditioning story,jojoba oil; peach extract; vitamin E,jojoba supports conditioning feel; peach extract adds fruit story; vitamin E supports conditioning feel,Peach Fizz,peach,fluid oil,luminous gloss,Peach Nude,Nude,A translucent warm peach tint.,Desk-to-dinner,Day,PERSONA_002,Mid,fresh-polished,The polished lip oil,office beauty; texture,Swipe on the peach glow,Product Spotlight; Flavour/Sensory,Instagram; Pinterest,oil dropper beside peach slices,sunny; silky; fresh
PRODUCT_005,Berry Velvet Bullet,Lipstick,Cream lipstick,A berry lipstick with a creamy application and soft satin finish.,rich berry colour; creamy glide; satin finish,Berry satin colour,Comfortable-feeling cream texture,mango butter; castor seed oil; iron oxides,mango butter adds richness; castor seed oil supports glide; iron oxides create colour,Berry Velvet,ripe berry,creamy bullet,satin,Berry,Berry,A medium-deep berry with a polished finish.,Evening plans; statement looks,Evening,PERSONA_007,Premium,refined-bold,Berry with a softer edge,shade styling; evening,Meet your berry shade,Product Spotlight; Lifestyle,Instagram; Pinterest,velvet fabric with lipstick close-up,plush; moody; refined
PRODUCT_006,Cocoa Cloud Mask,Lip Mask,Cream lip mask,A rich cocoa lip mask designed for a plush-feeling evening ritual.,rich texture; comforting routine; overnight-friendly,Plush overnight feel,Creamy texture; dessert sensory,shea butter; cocoa-inspired flavour; vitamin E,shea butter supports rich feel; vitamin E supports conditioning feel,Cocoa Drizzle,warm cocoa,thick cream,soft satin,Natural,Neutral,Clear-to-translucent cream mask.,Evening lip ritual,Night,PERSONA_010,Mid,cozy,The cocoa wind-down,night routine; sensory,Make tonight a cocoa night,Lifestyle; Flavour/Sensory; Lip Care Tips,Instagram; Pinterest,mask jar on bedside table with cocoa tones,warm; creamy; cozy
PRODUCT_007,Mint Reset Balm,Lip Balm,Clear balm,A fresh mint balm with a smooth glide for everyday lip care.,conditioning feel; smooth glide; refreshing flavour,Smooth everyday conditioning,Portable; easy reapplication,shea butter; jojoba oil; mint flavour; vitamin E,shea butter adds richness; jojoba supports conditioning feel; vitamin E supports conditioning feel,Mint Leaf,fresh mint,soft balm,natural sheen,Clear,Clear,Transparent balm with a clean finish.,"Desk, bag and bedside",Anytime,PERSONA_006,Accessible,fresh-functional,The bag-everywhere balm,routine; portability,Keep a reset in your pocket,Lip Care Tips; Product Spotlight,Instagram; Facebook,balm beside keys and a notebook,fresh; crisp; practical
PRODUCT_008,Coconut Cloud Butter,Lip Butter,Rich lip butter,"A creamy coconut lip butter for a soft, indulgent-feeling ritual.",rich cushion; creamy feel; tropical sensory,Creamy butter feel,Comforting texture; evening-friendly,mango butter; coconut oil; shea butter,butters create richness; coconut oil adds emollience,Coconut Cream,creamy coconut,buttery,soft sheen,Clear,Clear,Translucent buttery finish.,Night or slow mornings,Night,PERSONA_010,Mid,soft-indulgent,A tiny tropical ritual,texture; self-care,Melt into the ritual,Lifestyle; Flavour/Sensory,Instagram; Pinterest,open butter pot with coconut and linen,creamy; tropical; soft
PRODUCT_009,Rose Pearl Serum,Lip Serum,Shimmer serum,A lightweight rose-toned lip serum with a subtle pearly glow.,lightweight feel; luminous finish; botanical story,Pearly lip glow,Silky texture; easy layering,squalane; rose extract; mica; vitamin E,squalane gives silky feel; rose extract adds botanical story; mica creates shimmer,Rose Lychee,rose-lychee,silky serum,pearly,Rose Nude,Rose,A sheer rose tint with fine pearl.,Under lipstick or solo,Day,PERSONA_007,Premium,luminous-refined,A serum-like glow for lips,ingredient; layering,Find your pearl,Ingredient Spotlight; Product Spotlight,Instagram; Pinterest,serum applicator catching window light,luminous; airy; elegant
PRODUCT_010,Caramel Kiss Mask,Lip Sleeping Mask,Overnight mask,"A salted caramel sleeping mask with a rich, glossy cushion.",overnight-friendly; rich texture; sensory ritual,Rich overnight cushion,Comforting feel; dessert flavour,shea butter; mango butter; vitamin E,butters create a rich feel; vitamin E supports conditioning,Salted Caramel,buttery caramel,balm-gel,glossy,Clear,Clear,Glossy translucent mask.,Before bed,Night,PERSONA_010,Mid,indulgent-cozy,Dessert before dreams,night routine; flavour,Put caramel on the nightstand,Flavour/Sensory; Lifestyle,Instagram; Pinterest,bedside mask with caramel-toned styling,buttery; glossy; warm
PRODUCT_011,Mango Melt Oil,Lip Oil,Clear lip oil,"A juicy mango lip oil with a smooth, fluid glide.",glossy cushion; easy layering; juicy flavour,Juicy glossy feel,Lightweight application; reapplication-friendly,jojoba oil; mango butter; vitamin E,jojoba supports slip; mango butter adds richness; vitamin E supports conditioning,Mango Nectar,ripe mango,fluid oil,luminous gloss,Clear,Clear,Transparent high-shine oil.,Daytime shine,Day,PERSONA_005,Mid,sunny,Mango without the mess,flavour; texture,Melt into mango,Flavour/Sensory; Product Spotlight,Instagram; YouTube Shorts,oil wand with mango slices and reflective glass,juicy; silky; sunny
PRODUCT_012,Vanilla Veil Balm,Tinted Lip Balm,Sheer nude balm,A soft vanilla tinted balm that gives a barely-there nude wash.,sheer colour; balm comfort; easy use,Everyday nude wash,Smooth glide; subtle shine,shea butter; jojoba oil; iron oxides,shea and jojoba support soft feel; iron oxides create colour,Vanilla Cloud,soft vanilla,creamy balm,sheer satin,Nude Rose,Nude,A warm nude with a soft rosy cast.,Daily polish,Day,PERSONA_004,Accessible,minimal-soft,The one-step nude,minimal makeup; routine,Make nude easy,Product Spotlight; Lifestyle,Instagram; Pinterest,balm beside a minimal makeup pouch,soft; clean; understated
PRODUCT_013,Plum Tea Stain,Lip Stain,Gel stain,A moody plum stain with a buildable wash of colour.,buildable stain; lightweight feel; long-look colour,Buildable plum colour,Sheer-to-deeper layering,plum-inspired flavour; glycerin; propanediol; iron oxides,glycerin supports moisturised feel; pigments create colour,Plum Tea,plum tea,watery gel,stained satin,Plum,Plum,A muted deep plum that builds in layers.,Dinner and evening looks,Evening,PERSONA_007,Premium,moody-refined,The soft-focus plum,shade build; evening,Build the mood,Product Spotlight; Lifestyle,Instagram; Pinterest,plum swatches on warm paper,moody; velvety; refined
PRODUCT_014,Peach Petal Balm,Lip Balm,Tinted balm,A peachy balm with a soft satin wash and fresh fruit character.,sheer peach; smooth glide; everyday ease,Soft peach tint,Portable; easy reapplication,shea butter; peach extract; jojoba oil,shea adds richness; peach extract adds fruit story; jojoba supports conditioning,Honey Peach,peach-honey,creamy balm,satin,Peach,Peach,A warm peach with a soft golden cast.,Everyday errands,Day,PERSONA_009,Accessible,sunny-easy,Your easiest peach,shade guide; daily routine,Swipe into peach,Product Spotlight; Lifestyle,Instagram; Facebook,peach balm with a canvas tote and sunglasses,sunny; soft; effortless
PRODUCT_015,Sugar Polish Scrub,Lip Scrub,Sugar scrub,A fine sugar lip scrub with a creamy base and vanilla flavour.,surface polishing; creamy texture; sensory ritual,Polished-feeling texture,Easy rinse-off routine,sugar; jojoba oil; shea butter,sugar provides physical exfoliation; oils and butter support glide,Vanilla Cloud,vanilla,fine grain cream,natural,Clear,Clear,Creamy scrub with fine sugar grains.,Before lipstick or weekly ritual,Evening,PERSONA_006,Accessible,playful-care,The pre-colour prep step,prep; texture,"Polish, then colour",Lip Care Tips; Education,Instagram; Pinterest,macro sugar grains beside a lipstick,grainy; creamy; sweet
PRODUCT_016,Glasshouse Plump Gloss,Lip Plumper,Plumping gloss,A high-shine gloss with a warming cosmetic sensation designed for a fuller-looking lip makeup effect.,high shine; fuller-looking appearance; glossy finish,Fuller-looking glossy effect,Layerable shine; statement finish,polybutene; castor seed oil; vitamin E; cosmetic warming flavour,polybutene supports gloss; castor oil adds slip; vitamin E supports conditioning feel,Cocoa Mint,cool cocoa,cushioned gloss,glass,Clear,Clear,Transparent gloss with wet-look shine.,Statement gloss looks,Day,PERSONA_005,Mid,bold-glossy,A high-shine lip look with extra drama,finish; trend,Turn up the gloss,Product Spotlight; Trend,Instagram; YouTube Shorts,macro lip gloss with reflective highlights,glassy; cool; dramatic
PRODUCT_017,Iced Coffee Balm,Lip Balm,Comfort balm,A creamy coffee-flavoured balm with a soft natural sheen.,creamy feel; smooth glide; everyday use,Comfortable creamy feel,Desk-friendly; sensory,shea butter; jojoba oil; vitamin E,shea adds richness; jojoba supports conditioning; vitamin E supports conditioning,Iced Coffee,coffee,creamy balm,natural sheen,Clear,Clear,Transparent balm with a soft sheen.,Workday desk ritual,Day,PERSONA_002,Accessible,warm-functional,Coffee break for your lips,desk routine; flavour,Meet your desk-side balm,Lifestyle; Flavour/Sensory,Instagram; Facebook,coffee cup and balm on a desk,roasted; creamy; practical
